regcode,region,month,year,marriage,date
643,Российская Федерация,январь,2006,55509,2006-01-01
643,Российская Федерация,январь,2007,59495,2007-01-01
643,Российская Федерация,январь,2008,58668,2008-01-01
643,Российская Федерация,январь,2009,65507,2009-01-01
643,Российская Федерация,январь,2010,62980,2010-01-01
643,Российская Федерация,январь,2011,57949,2011-01-01
643,Российская Федерация,январь,2012,55008,2012-01-01
643,Российская Федерация,январь,2013,56123,2013-01-01
643,Российская Федерация,январь,2014,59291,2014-01-01
643,Российская Федерация,январь,2015,58050,2015-01-01
643,Российская Федерация,январь,2016,48523,2016-01-01
643,Российская Федерация,январь,2017,50940,2017-01-01
643,Российская Федерация,январь,2018,49005,2018-01-01
643,Российская Федерация,январь,2019,45259,2019-01-01
643,Российская Федерация,январь,2020,41233,2020-01-01
643,Российская Федерация,февраль,2006,62449,2006-02-01
643,Российская Федерация,февраль,2007,68255,2007-02-01
643,Российская Федерация,февраль,2008,68195,2008-02-01
643,Российская Федерация,февраль,2009,81024,2009-02-01
643,Российская Федерация,февраль,2010,64855,2010-02-01
643,Российская Федерация,февраль,2011,68897,2011-02-01
643,Российская Федерация,февраль,2012,69384,2012-02-01
643,Российская Федерация,февраль,2013,66604,2013-02-01
643,Российская Федерация,февраль,2014,77817,2014-02-01
643,Российская Федерация,февраль,2015,67918,2015-02-01
643,Российская Федерация,февраль,2016,55748,2016-02-01
643,Российская Федерация,февраль,2017,63581,2017-02-01
643,Российская Федерация,февраль,2018,52972,2018-02-01
643,Российская Федерация,февраль,2019,49792,2019-02-01
643,Российская Федерация,февраль,2020,65799,2020-02-01
643,Российская Федерация,март,2006,70798,2006-03-01
643,Российская Федерация,март,2007,68173,2007-03-01
643,Российская Федерация,март,2008,85275,2008-03-01
643,Российская Федерация,март,2009,65250,2009-03-01
643,Российская Федерация,март,2010,58124,2010-03-01
643,Российская Федерация,март,2011,73713,2011-03-01
643,Российская Федерация,март,2012,62912,2012-03-01
643,Российская Федерация,март,2013,95343,2013-03-01
643,Российская Федерация,март,2014,70717,2014-03-01
643,Российская Федерация,март,2015,57537,2015-03-01
643,Российская Федерация,март,2016,64867,2016-03-01
643,Российская Федерация,март,2017,59183,2017-03-01
643,Российская Федерация,март,2018,56637,2018-03-01
643,Российская Федерация,март,2019,65253,2019-03-01
643,Российская Федерация,март,2020,49667,2020-03-01
643,Российская Федерация,апрель,2006,86055,2006-04-01
643,Российская Федерация,апрель,2007,106800,2007-04-01
643,Российская Федерация,апрель,2008,70528,2008-04-01
643,Российская Федерация,апрель,2009,98242,2009-04-01
643,Российская Федерация,апрель,2010,121953,2010-04-01
643,Российская Федерация,апрель,2011,93631,2011-04-01
643,Российская Федерация,апрель,2012,97401,2012-04-01
643,Российская Федерация,апрель,2013,67605,2013-04-01
643,Российская Федерация,апрель,2014,93571,2014-04-01
643,Российская Федерация,апрель,2015,97256,2015-04-01
643,Российская Федерация,апрель,2016,58968,2016-04-01
643,Российская Федерация,апрель,2017,84361,2017-04-01
643,Российская Федерация,апрель,2018,79258,2018-04-01
643,Российская Федерация,апрель,2019,56818,2019-04-01
643,Российская Федерация,апрель,2020,33787,2020-04-01
643,Российская Федерация,мая,2006,35960,2006-05-01
643,Российская Федерация,мая,2007,39331,2007-05-01
643,Российская Федерация,мая,2008,52634,2008-05-01
643,Российская Федерация,мая,2009,45622,2009-05-01
643,Российская Федерация,мая,2010,41339,2010-05-01
643,Российская Федерация,мая,2011,46364,2011-05-01
643,Российская Федерация,мая,2012,45128,2012-05-01
643,Российская Федерация,мая,2013,49712,2013-05-01
643,Российская Федерация,мая,2014,53922,2014-05-01
643,Российская Федерация,мая,2015,47687,2015-05-01
643,Российская Федерация,мая,2016,47334,2016-05-01
643,Российская Федерация,мая,2017,40851,2017-05-01
