region,period,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
643 Российская Федерация,115 январь,"55,509","59,495","58,668","65,507","62,980","57,949","55,008","56,123","59,291","58,050","48,523","50,940","49,005","45,259","41,233"
643 Российская Федерация,114 февраль,"62,449","68,255","68,195","81,024","64,855","68,897","69,384","66,604","77,817","67,918","55,748","63,581","52,972","49,792","65,799"
643 Российская Федерация,M01_02 январь-февраль,"117,958","127,750","126,863","146,531","127,835","126,846","124,392","122,727","137,108","125,968","104,271","114,521","101,977","95,051","107,032"
643 Российская Федерация,68 март,"70,798","68,173","85,275","65,250","58,124","73,713","62,912","95,343","70,717","57,537","64,867","59,183","56,637","65,253","49,667"
643 Российская Федерация,122 январь-март,"188,756","195,923","212,138","211,781","185,959","200,559","187,304","218,070","207,825","183,505","169,138","173,704","158,614","160,304","156,699"
643 Российская Федерация,61 апрель,"86,055","106,800","70,528","98,242","121,953","93,631","97,401","67,605","93,571","97,256","58,968","84,361","79,258","56,818","33,787"
643 Российская Федерация,117 январь-апрель,"274,811","302,723","282,666","310,023","307,912","294,190","284,705","285,675","301,396","280,761","228,106","258,065","237,872","217,122","190,486"
643 Российская Федерация,67 май,"35,960","39,331","52,634","45,622","41,339","46,364","45,128","49,712","53,922","47,687","47,334","40,851","39,756","43,531","15,074"
643 Российская Федерация,121 январь-май,"310,771","342,054","335,300","355,645","349,251","340,554","329,833","335,387","355,318","328,448","275,440","298,916","277,628","260,653","205,560"
643 Российская Федерация,66 июнь,"111,409","119,012","119,283","118,230","113,994","132,709","137,667","146,512","128,954","114,524","114,936","111,901","103,451","104,709","68,408"
643 Российская Федерация,120 январь-июнь,"422,180","461,066","454,583","473,875","463,245","473,263","467,500","481,899","484,272","442,972","390,376","410,817","381,079","365,362","273,968"
643 Российская Федерация,65 июль,"127,475","147,253","125,496","138,227","164,233","162,556","144,355","141,354","139,684","142,572","138,733","150,368","114,416","112,845","94,393"
643 Российская Федерация,119 январь-июль,"549,655","608,319","580,079","612,102","627,478","635,819","611,855","623,253","623,956","585,544","529,109","561,185","495,495","478,207","368,361"
643 Российская Федерация,60 август,"149,120","163,630","192,591","164,684","153,402","157,766","168,085","181,745","176,269","160,667","131,756","138,775","149,966","133,217","116,921"
643 Российская Федерация,116 январь-август,"698,775","771,949","772,670","776,786","780,880","793,585","779,940","804,998","800,225","746,211","660,865","699,960","645,461","611,424","485,282"
643 Российская Федерация,108 сентябрь,"151,116","152,696","129,196","141,188","143,937","168,510","152,328","144,512","134,342","131,936","115,462","125,720","113,178","107,033","95,794"
643 Российская Федерация,125 январь-сентябрь,"849,891","924,645","901,866","917,974","924,817","962,095","932,268","949,510","934,567","878,147","776,327","825,680","758,639","718,457","581,076"
643 Российская Федерация,105 октябрь,"95,192","108,414","107,600","113,820","122,144","121,711","100,937","102,743","106,211","104,838","82,752","80,249","44,413","82,727","81,188"
643 Российская Федерация,124 январь-октябрь,"945,083","1,033,059","1,009,466","1,031,794","1,046,961","1,083,806","1,033,205","1,052,253","1,040,778","982,985","859,079","905,929","803,052","801,184","662,264"
643 Российская Федерация,104 ноябрь,"86,480","112,961","92,839","85,295","86,570","118,181","88,892","92,859","83,880","82,151","64,092","70,951","43,870","75,722","54,375"
643 Российская Федерация,123 январь-ноябрь,"1,031,563","1,146,020","1,102,305","1,117,089","1,133,531","1,201,987","1,122,097","1,145,112","1,124,658","1,065,136","923,171","976,880","846,922","876,906","716,639"
643 Российская Федерация,62 декабрь,"82,101","116,561","76,409","82,351","81,559","114,122","91,519","80,145","80,742","95,908","62,663","72,845","47,252","73,199","54,121"
643 Российская Федерация,118 январь-декабрь,"1,113,664","1,262,581","1,178,714","1,199,440","1,215,090","1,316,109","1,213,616","1,225,257","1,205,400","1,161,044","985,834","1,049,725","894,174","950,105","770,760"
030 Центральный федеральный округ,115 январь,"14,845","15,433","14,601","17,591","17,083","15,401","14,061","14,213","15,406","15,717","13,118","13,495","13,189","11,973","10,558"
030 Центральный федеральный округ,114 февраль,"16,414","17,430","16,440","21,924","15,943","17,816","18,281","16,548","20,903","18,472","14,981","17,385","14,085","13,529","18,234"
030 Центральный федеральный округ,M01_02 январь-февраль,"31,259","32,863","31,041","39,515","33,026","33,217","32,342","30,761","36,309","34,189","28,099","30,880","27,274","25,502","28,792"
030 Центральный федеральный округ,68 март,"15,753","13,878","20,827","13,742","10,648","16,341","12,312","24,059","17,303","13,067","16,392","12,728","12,515","16,970","11,708"
030 Центральный федеральный округ,122 январь-март,"47,012","46,741","51,868","53,257","43,674","49,558","44,654","54,820","53,612","47,256","44,491","43,608","39,789","42,472","40,500"
030 Центральный федеральный округ,61 апрель,"21,803","29,703","14,798","26,626","34,323","23,867","25,840","13,359","24,744","27,693","12,792","23,696","22,744","13,336","9,127"
030 Центральный федеральный округ,117 январь-апрель,"68,815","76,444","66,666","79,883","77,997","73,425","70,494","68,179","78,356","74,949","57,283","67,304","62,533","55,808","49,627"
030 Центральный федеральный округ,67 май,"9,384","10,529","15,293","12,863","10,953","12,990","11,742","14,145","15,630","13,730","14,128","11,088","10,688","13,144","3,812"
030 Центральный федеральный округ,121 январь-май,"78,199","86,973","81,959","92,746","88,950","86,415","82,236","82,324","93,986","88,679","71,411","78,392","73,221","68,952","53,439"
