regcode,region,month,year,marriage
643,Российская Федерация,январь,2006,"55,509"
643,Российская Федерация,январь,2007,"59,495"
643,Российская Федерация,январь,2008,"58,668"
643,Российская Федерация,январь,2009,"65,507"
643,Российская Федерация,январь,2010,"62,980"
643,Российская Федерация,январь,2011,"57,949"
643,Российская Федерация,январь,2012,"55,008"
643,Российская Федерация,январь,2013,"56,123"
643,Российская Федерация,январь,2014,"59,291"
643,Российская Федерация,январь,2015,"58,050"
643,Российская Федерация,январь,2016,"48,523"
643,Российская Федерация,январь,2017,"50,940"
643,Российская Федерация,январь,2018,"49,005"
643,Российская Федерация,январь,2019,"45,259"
643,Российская Федерация,январь,2020,"41,233"
643,Российская Федерация,февраль,2006,"62,449"
643,Российская Федерация,февраль,2007,"68,255"
643,Российская Федерация,февраль,2008,"68,195"
643,Российская Федерация,февраль,2009,"81,024"
643,Российская Федерация,февраль,2010,"64,855"
643,Российская Федерация,февраль,2011,"68,897"
643,Российская Федерация,февраль,2012,"69,384"
643,Российская Федерация,февраль,2013,"66,604"
643,Российская Федерация,февраль,2014,"77,817"
643,Российская Федерация,февраль,2015,"67,918"
643,Российская Федерация,февраль,2016,"55,748"
643,Российская Федерация,февраль,2017,"63,581"
643,Российская Федерация,февраль,2018,"52,972"
643,Российская Федерация,февраль,2019,"49,792"
643,Российская Федерация,февраль,2020,"65,799"
643,Российская Федерация,март,2006,"70,798"
643,Российская Федерация,март,2007,"68,173"
643,Российская Федерация,март,2008,"85,275"
643,Российская Федерация,март,2009,"65,250"
643,Российская Федерация,март,2010,"58,124"
643,Российская Федерация,март,2011,"73,713"
643,Российская Федерация,март,2012,"62,912"
643,Российская Федерация,март,2013,"95,343"
643,Российская Федерация,март,2014,"70,717"
643,Российская Федерация,март,2015,"57,537"
643,Российская Федерация,март,2016,"64,867"
643,Российская Федерация,март,2017,"59,183"
643,Российская Федерация,март,2018,"56,637"
643,Российская Федерация,март,2019,"65,253"
643,Российская Федерация,март,2020,"49,667"
643,Российская Федерация,апрель,2006,"86,055"
643,Российская Федерация,апрель,2007,"106,800"
643,Российская Федерация,апрель,2008,"70,528"
643,Российская Федерация,апрель,2009,"98,242"
643,Российская Федерация,апрель,2010,"121,953"
643,Российская Федерация,апрель,2011,"93,631"
643,Российская Федерация,апрель,2012,"97,401"
643,Российская Федерация,апрель,2013,"67,605"
643,Российская Федерация,апрель,2014,"93,571"
643,Российская Федерация,апрель,2015,"97,256"
643,Российская Федерация,апрель,2016,"58,968"
643,Российская Федерация,апрель,2017,"84,361"
643,Российская Федерация,апрель,2018,"79,258"
643,Российская Федерация,апрель,2019,"56,818"
643,Российская Федерация,апрель,2020,"33,787"
643,Российская Федерация,май,2006,"35,960"
643,Российская Федерация,май,2007,"39,331"
643,Российская Федерация,май,2008,"52,634"
643,Российская Федерация,май,2009,"45,622"
643,Российская Федерация,май,2010,"41,339"
643,Российская Федерация,май,2011,"46,364"
643,Российская Федерация,май,2012,"45,128"
643,Российская Федерация,май,2013,"49,712"
643,Российская Федерация,май,2014,"53,922"
643,Российская Федерация,май,2015,"47,687"
643,Российская Федерация,май,2016,"47,334"
643,Российская Федерация,май,2017,"40,851"
643,Российская Федерация,май,2018,"39,756"
643,Российская Федерация,май,2019,"43,531"
643,Российская Федерация,май,2020,"15,074"
643,Российская Федерация,июнь,2006,"111,409"
643,Российская Федерация,июнь,2007,"119,012"
643,Российская Федерация,июнь,2008,"119,283"
643,Российская Федерация,июнь,2009,"118,230"
643,Российская Федерация,июнь,2010,"113,994"
643,Российская Федерация,июнь,2011,"132,709"
643,Российская Федерация,июнь,2012,"137,667"
643,Российская Федерация,июнь,2013,"146,512"
643,Российская Федерация,июнь,2014,"128,954"
643,Российская Федерация,июнь,2015,"114,524"
643,Российская Федерация,июнь,2016,"114,936"
643,Российская Федерация,июнь,2017,"111,901"
643,Российская Федерация,июнь,2018,"103,451"
643,Российская Федерация,июнь,2019,"104,709"
643,Российская Федерация,июнь,2020,"68,408"
643,Российская Федерация,июль,2006,"127,475"
643,Российская Федерация,июль,2007,"147,253"
643,Российская Федерация,июль,2008,"125,496"
643,Российская Федерация,июль,2009,"138,227"
643,Российская Федерация,июль,2010,"164,233"
643,Российская Федерация,июль,2011,"162,556"
643,Российская Федерация,июль,2012,"144,355"
643,Российская Федерация,июль,2013,"141,354"
643,Российская Федерация,июль,2014,"139,684"
643,Российская Федерация,июль,2015,"142,572"
643,Российская Федерация,июль,2016,"138,733"
643,Российская Федерация,июль,2017,"150,368"
643,Российская Федерация,июль,2018,"114,416"
643,Российская Федерация,июль,2019,"112,845"
643,Российская Федерация,июль,2020,"94,393"
643,Российская Федерация,август,2006,"149,120"
643,Российская Федерация,август,2007,"163,630"
643,Российская Федерация,август,2008,"192,591"
643,Российская Федерация,август,2009,"164,684"
643,Российская Федерация,август,2010,"153,402"
643,Российская Федерация,август,2011,"157,766"
643,Российская Федерация,август,2012,"168,085"
643,Российская Федерация,август,2013,"181,745"
643,Российская Федерация,август,2014,"176,269"
643,Российская Федерация,август,2015,"160,667"
643,Российская Федерация,август,2016,"131,756"
643,Российская Федерация,август,2017,"138,775"
643,Российская Федерация,август,2018,"149,966"
643,Российская Федерация,август,2019,"133,217"
643,Российская Федерация,август,2020,"116,921"
643,Российская Федерация,сентябрь,2006,"151,116"
643,Российская Федерация,сентябрь,2007,"152,696"
643,Российская Федерация,сентябрь,2008,"129,196"
643,Российская Федерация,сентябрь,2009,"141,188"
643,Российская Федерация,сентябрь,2010,"143,937"
643,Российская Федерация,сентябрь,2011,"168,510"
643,Российская Федерация,сентябрь,2012,"152,328"
643,Российская Федерация,сентябрь,2013,"144,512"
643,Российская Федерация,сентябрь,2014,"134,342"
643,Российская Федерация,сентябрь,2015,"131,936"
643,Российская Федерация,сентябрь,2016,"115,462"
643,Российская Федерация,сентябрь,2017,"125,720"
643,Российская Федерация,сентябрь,2018,"113,178"
643,Российская Федерация,сентябрь,2019,"107,033"
643,Российская Федерация,сентябрь,2020,"95,794"
643,Российская Федерация,октябрь,2006,"95,192"
643,Российская Федерация,октябрь,2007,"108,414"
643,Российская Федерация,октябрь,2008,"107,600"
643,Российская Федерация,октябрь,2009,"113,820"
643,Российская Федерация,октябрь,2010,"122,144"
643,Российская Федерация,октябрь,2011,"121,711"
643,Российская Федерация,октябрь,2012,"100,937"
643,Российская Федерация,октябрь,2013,"102,743"
643,Российская Федерация,октябрь,2014,"106,211"
643,Российская Федерация,октябрь,2015,"104,838"
643,Российская Федерация,октябрь,2016,"82,752"
643,Российская Федерация,октябрь,2017,"80,249"
643,Российская Федерация,октябрь,2018,"44,413"
643,Российская Федерация,октябрь,2019,"82,727"
643,Российская Федерация,октябрь,2020,"81,188"
643,Российская Федерация,ноябрь,2006,"86,480"
643,Российская Федерация,ноябрь,2007,"112,961"
